key,collections_count,namespaces_count,collections,namespaces
"post_uri","1","1","app.bskymark.bookmark","app.bskymark.bookmark"
"default","1","1","app.bsky.system.lexicon","app.bsky.system"
"enum","1","1","app.bsky.system.lexicon","app.bsky.system"
"reasonTypes","1","1","app.bsky.labeler.service","app.bsky.labeler"
"subjectTypes","1","1","app.bsky.labeler.service","app.bsky.labeler"
"evil","1","1","app.bsky.graph.schema","app.bsky.graph"
"potatoes","1","1","app.bsky.graph.schema","app.bsky.graph"
"videoUrl","1","1","app.bsky.feed.video","app.bsky.feed"
"hiddenReplies","1","1","app.bsky.feed.threadgate","app.bsky.feed"
"via","1","1","app.bsky.feed.repost","app.bsky.feed"
"detachedEmbeddingUris","1","1","app.bsky.feed.postgate","app.bsky.feed"
"embeddingRules","1","1","app.bsky.feed.postgate","app.bsky.feed"
"mdVersion","1","1","app.bsky.feed.mdpost","app.bsky.feed"
"py_type","2","1","app.bsky.feed.like.delete;app.bsky.feed.deleteLike","app.bsky.feed"
"descriptionFacets","1","1","app.bsky.feed.generator","app.bsky.feed"
"durationMinutes","1","1","app.bsky.actor.status","app.bsky.actor"
"mint","1","1","app.bsky.actor.favoriteToken","app.bsky.actor"
"command","1","1","app.bikesky.communityBot.commandPrompt","app.bikesky.communityBot"
"labelIdentifiers","1","1","app.bikesky.communityBot.commandPrompt","app.bikesky.communityBot"
"verifiedLabelIdentifiers","1","1","app.bikesky.communityBot.commandPrompt","app.bikesky.communityBot"
"timezone","1","1","app.basker.widgets","app.basker.widgets"
"allowIndexing","1","1","app.basker.settings","app.basker.settings"
"enableAnalytics","1","1","app.basker.settings","app.basker.settings"
"showNotes","1","1","app.basker.settings","app.basker.settings"
"showStories","1","1","app.basker.settings","app.basker.settings"
"accentColor","1","1","app.basker.settings","app.basker.settings"
"fontFamily","1","1","app.basker.settings","app.basker.settings"
"primaryColor","1","1","app.basker.settings","app.basker.settings"
"textColor","1","1","app.basker.settings","app.basker.settings"
"communityName","1","1","app.azsky.feed.longpost","app.azsky.feed"
"publicKeys","1","1","app.atyo.actor.profile","app.atyo.actor"
"groupUri","2","1","app.atsocial.group.post;app.atsocial.group.membership","app.atsocial.group"
"groupPostUri","1","1","app.atsocial.group.comment","app.atsocial.group"
"admins","1","1","app.atsocial.group","app.atsocial.group"
"hideFromFriends","1","1","app.atprotomkt.marketplace.listing","app.atprotomkt.marketplace"
"subcategory","1","1","app.atprotomkt.marketplace.listing","app.atprotomkt.marketplace"
"fileSize","1","1","app.at-transfer.signaloffer","app.at-transfer.signaloffer"
"intendedReceiverDid","1","1","app.at-transfer.signaloffer","app.at-transfer.signaloffer"
